Tournament,Stage,Match Type,Player,Teams,Agents,Rounds Played,Rating,Average Combat Score,Kills:Deaths,"Kill, Assist, Trade, Survive %",Average Damage Per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot %,Clutch Success %,Clutches (won/played),Maximum Kills in a Single Map,Kills,Deaths,Assists,First Kills,First Deaths,Cluster
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,TenZ,Sentinels,"jett, sage",39,0.98,184.0,0.96,62.0,122.0,0.67,0.21,0.13,0.15,23.0,50.0,3/6,14,26,27,8,5,6,Under Perform
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,Laz,ZETA DIVISION,killjoy,41,0.87,172.0,0.92,71.0,131.0,0.59,0.15,0.05,0.02,29.0,33.0,0/6,18,24,26,6,2,1,Under Perform
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,Khalil,FURIA,"astra, killjoy, omen",76,0.88,148.0,0.84,71.0,92.0,0.54,0.25,0.07,0.04,30.0,8.0,1/13,21,41,49,19,5,3,Under Perform
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,Jremy,Team Secret,"kayo, raze, sage",79,0.85,163.0,0.78,66.0,97.0,0.59,0.3,0.13,0.1,15.0,29.0,2/7,19,47,60,24,10,8,Under Perform
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,JitBoyS,Talon Esports,"breach, harbor, kayo",157,0.92,187.0,0.93,72.0,116.0,0.68,0.36,0.06,0.09,33.0,7.0,1/15,24,106,114,56,10,14,Under Perform
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,Jinggg,Paper Rex,"raze, sage",38,0.97,204.0,0.93,68.0,157.0,0.71,0.21,0.03,0.08,20.0,33.0,0/5,16,27,29,8,1,3,Under Perform
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,JessieVash,Team Secret,"fade, sova",79,1.06,258.0,1.06,75.0,170.0,0.9,0.32,0.11,0.13,31.0,10.0,1/10,21,71,67,25,9,10,Under Perform
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,Jamppi,Team Liquid,"jett, raze",41,0.91,246.0,0.97,71.0,148.0,0.78,0.24,0.17,0.15,14.0,50.0,1/2,17,32,33,10,7,6,Under Perform
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,Leo,FNATIC,"fade, sage, sova",307,1.28,225.0,1.41,81.0,143.0,0.79,0.33,0.05,0.02,19.0,27.0,13/49,25,243,172,100,15,7,Normal Perform
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,Haodong,EDward Gaming,"astra, omen, viper",71,0.86,163.0,0.73,66.0,113.0,0.52,0.34,0.08,0.07,26.0,33.0,0/7,17,37,51,24,6,5,Under Perform
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,FiNESSE,NRG Esports,"breach, cypher, killjoy, viper",184,0.92,183.0,0.85,74.0,121.0,0.6,0.35,0.1,0.08,17.0,10.0,2/21,23,111,131,64,19,14,Under Perform
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,Ethan,Evil Geniuses,"breach, kayo, yoru",89,1.21,238.0,1.16,81.0,151.0,0.8,0.54,0.12,0.04,16.0,33.0,0/7,24,71,61,48,11,4,Under Perform
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,Emman,Rex Regum Qeon,"kayo, reyna",40,1.09,233.0,1.1,83.0,160.0,0.8,0.45,0.1,0.08,35.0,33.0,0/5,21,32,29,18,4,3,Under Perform
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,EJAY,Rex Regum Qeon,neon,16,0.79,189.0,0.71,69.0,128.0,0.63,0.19,0.0,0.38,25.0,33.0,0/1,10,10,14,3,0,6,Under Perform
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,DubsteP,Team Secret,"astra, cypher, killjoy",79,0.75,139.0,0.68,61.0,100.0,0.49,0.16,0.1,0.13,24.0,8.0,1/13,14,39,57,13,8,10,Under Perform
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,Destrian,Team Vitality,"astra, harbor, omen",104,0.98,159.0,0.75,71.0,101.0,0.5,0.49,0.07,0.12,26.0,33.0,0/11,13,52,69,51,7,12,Under Perform
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,Derrek,100 Thieves,"breach, fade, sova",175,0.92,186.0,0.85,72.0,135.0,0.64,0.34,0.07,0.06,31.0,7.0,2/27,20,112,131,59,12,11,Under Perform
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,Fit1nho,Giants Gaming,"jett, raze",97,0.98,203.0,1.04,71.0,140.0,0.74,0.19,0.18,0.14,25.0,33.0,0/7,35,72,69,18,17,14,Under Perform
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,Derke,FNATIC,"jett, raze",307,1.14,257.0,1.25,72.0,169.0,0.89,0.19,0.22,0.2,25.0,13.0,2/15,32,274,220,58,68,60,Normal Perform
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,Less,LOUD,"killjoy, viper",380,1.15,227.0,1.22,75.0,159.0,0.82,0.25,0.11,0.06,28.0,20.0,12/60,27,312,255,95,42,24,Normal Perform
Champions Tour 2023: Lock-In Sao Paulo,All Stages,All Match Types,MOJJ,FUT Esports,"killjoy, viper",107,1.05,207.0,1.0,67.0,138.0,0.69,0.25,0.09,0.09,26.0,19.0,3/16,20,74,74,27,10,10,Under Perform
